x,World,Asia,Africa,Europe,North America,South America,Oceania
-889.9,103575832,66584464,36217540,22978744,0,0,5680036
-871.6,103575832,66584464,36305475,23039988,0,0,5734757
-853.2,103575832,66584464,36393410,23101232,0,0,5789478
-834.8,103575832,66584464,36481345,23162476,0,0,5844198
-816.4,109741060,66584464,36569280,23223720,0,0,5898919
-798.0,115906289,66584464,36657215,23284964,0,0,5953640
-779.6,122071517,66584464,36745150,23346208,0,0,6008361
-761.3,122071517,66584464,36833085,23407452,0,0,6063082
-742.9,122071517,72749692,36921021,23468696,0,0,6117803
-724.5,122071517,78914920,37008956,23529940,0,0,6172524
-706.1,122071517,85080148,37096891,23591184,0,0,6227245
-687.7,122071517,85080148,37184826,23652428,0,0,6281966
-669.3,128236745,85080148,37272761,23713672,0,0,6336687
-651.0,134401973,85080148,37360696,23774916,0,0,6391408
-632.6,140567201,85080148,37448631,23836160,0,0,6446129
-614.2,140567201,85080148,37536566,23897404,0,0,6500850
-595.8,140567201,85080148,37624501,23958648,0,0,6555571
